URL,Address,Building,Commute,CrimeRate,Pets,Beds,Doorman,Elevator
https://streeteasy.com/building/le-tour/2h?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android&utm_term=4e582b28f6af44e,138-28 Queens Boulevard #2H ,Le Tour,50,10.47,1,1,1,1
https://streeteasy.com/building/le-tour/4c?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android&utm_term=81402b3766454da,138-28 Queens Boulevard #4C ,Le Tour,50,10.47,1,1,1,1
https://streeteasy.com/rental/3827609?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android&utm_term=8e157662b4d2405,67-07 Yellowstone Boulevard #5G , 67-07 Yellowstone Boulevard #5G ,48,8.69,1,1,0,1
https://mrkjsq.com/,"97 Newkirk St, Jersey City, NJ 07306",MRK | Luxury Apartments,33,17.46,1,1,0,1
https://www.theharperapts.com/,"The Harper at Harmon Meadow Apartments, 100 Park Plaza Dr, Secaucus, NJ 07094","The Harper at Harmon Meadow Apartments
",46,20.38,1,1,0,1
https://streeteasy.com/building/the-landings-at-544-552-main-street/537?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android&utm_term=98ffe4b355f24ca,546 Main Street #537 ,,25,12,1,0,0,1
https://streeteasy.com/building/125_10-queens-boulevard-kew_gardens/1705?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android&utm_term=b096429e84d644c,125-10 Queens Boulevard #1705 ,125-10 Queens Boulevard #1705 ,49,10.42,1,1,1,1
https://streeteasy.com/building/880-bergen-avenue-jersey_city/04?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android&utm_term=00cb7a45e713441,880 Bergen Avenue #4 ,880 Bergen Avenue #4,33,17.46,1,0,0,0
https://streeteasy.com/building/605-1-street-hoboken/8?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android&utm_term=9fe38d773b974b9,605 1st Street,605 1st Street,38,14.05,1,1,0,0
https://streeteasy.com/rental/3850437?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android&utm_term=7b4097d07ffb41ee,546 Main Street #537 ,The Landings,25,12.69,1,0,0,1
"https://streeteasy.com/rental/3827656?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android&utm_term=074c2b07bdfc454
",12-15 Broadway,12-15 Broadway,40,13.08,1,0,1,1
https://streeteasy.com/rental/3844449?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android&utm_term=ab6fea82507b479,82-67 Austin Street,82-67 Austin Street,51,10.42,1,0,0,1
https://streeteasy.com/building/80_08-135-street-jamaica/522?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android,80-08 135th Street,80-08 135th Street,53,10.47,1,0,0,1
https://streeteasy.com/building/31_76-37-street-astoria/3f?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android&utm_term=b29dcdefc6da4a0,31-76 37th Street,31-76 37th Street,36,12.69,0,0,1,1
https://streeteasy.com/building/105_21-66-avenue-forest_hills/6c?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android&utm_term=92be8bf910ee442,105-21 66th Avenue,105-21 66th Avenue,50,8.69,1,1,0,1
https://streeteasy.com/building/150_44-72-road-flushing/3d?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android&utm_term=bcea79d2592b43d,150-44 72 Road,150-44 72 Road,71,10.47,1,1,0,0
https://streeteasy.com/building/30_85-vernon-boulevard-queens/6j,"30-85 Vernon Blvd, Astoria, NY 11102", 30-85 Vernon Boulevard,44,12.69,0,1,1,1
https://streeteasy.com/building/gerard-towers/24f,70-25 Yellowstone Boulevard,Gerard towers,45,8.691,1,1,1,1
https://streeteasy.com/building/178-north-11-street-brooklyn/6a,"178 N 11th St, Brooklyn, NY 11211","178 N 11th St, Brooklyn, NY 11211",19,24.1791,1,0,1,1
https://streeteasy.com/building/313-grove-street-jersey_city/2?utm_campaign=rental_listing&utm_medium=app_share&utm_source=android&utm_term=1057ff00b7c7485,313 Grove Street ,313 Grove Street ,24,17.46,1,1,0,0
https://streeteasy.com/building/the-octagon/0122,"888 Main St, New York, NY 10044",The Octagon,35,12.69,1,1,1,1
https://streeteasy.com/building/178-north-11-street-brooklyn/6a,178 North 11th Street,178 North 11th Street,15,24.17,1,0,1,1
https://streeteasy.com/building/104_20-queens-boulevard-forest_hills/02n,104-20 Queens Boulevard,Parker Towers,53,8.691,1,1,1,1
